,0,1,2,3,4
9,2016-05-10,新英体育,100%,38.75亿港元,文化传信
10,2016-05-03,永安国旅,未透露,未透露,同程旅游
11,2016-05-03,呱呱视频社区,36%,1.31亿人民币,光线传媒
12,2016-05-03,赛鸽天地网,100%,1220万人民币,深大通
13,2016-05-03,三吉嘉喜传媒,100%,1220万人民币,深大通
14,2016-04-28,乐博乐博机器人ROBOROBO,100%,4.3亿人民币,盛通股份
0,2016-04-27,东莞金旺,100%,4600万美元,奥飞娱乐
1,2016-04-20,屏芯科技,60%,数亿人民币,美团(新美大)
2,2016-04-16,汽车之家,48%,16亿美元,平安创新投资基金
3,2016-04-15,达达,47%,数亿美元,京东
4,2016-04-13,广东乐源数字,51%,8.67亿人民币,金一文化
5,2016-04-13,香港千里眼,50%,2.4亿港元,鸿海集团Foxconn
6,2016-04-12,淘世界,100%,数千万美元,蘑菇街
7,2016-04-07,兰亭集势Lightinthebox,30%,4.97亿人民币,卓尔集团
8,2016-04-07,汇茂科技,51%,数亿人民币,卓尔集团
9,2016-04-05,中华网,100%,1.5亿人民币,莱茵体育
10,2016-04-04,搜影科技,100%,13.55亿人民币,巨龙管业
11,2016-04-04,拇指玩,100%,3.39亿人民币,巨龙管业
12,2016-03-29,网中网教育,80%,2.12亿人民币,正保远程教育
13,2016-03-26,LeadHUG易盒科技,100%,1000万美元,赤子城SOLO
14,2016-03-25,数字100,100%,数亿人民币,科达股份/科达集团
0,2016-03-25,爱创营销,100%,数亿人民币,科达股份/科达集团
1,2016-03-25,亚海恒业会展,100%,数亿人民币,科达股份/科达集团
2,2016-03-25,汽车头条,100%,数千万人民币,科达股份/科达集团
3,2016-03-18,七维视觉,51%,4000万人民币,光线传媒
4,2016-03-18,汇星互联,100%,300万人民币,点点客
5,2016-03-18,厦门微巴科技,100%,104万人民币,点点客
6,2016-03-14,甘普科技GumpTech,100%,10.5亿人民币,暴风科技
7,2016-03-14,稻草熊影业,60%,10.8亿人民币,暴风科技
8,2016-03-14,立动科技《天机》,100%,9.75亿人民币,暴风科技
9,2016-03-07,亚博科技,59%,23.88亿港元,阿里巴巴
10,2016-02-16,嘟嘟美甲,100%,未透露,58同城
11,2016-02-16,友德医,100%,20亿人民币,深天地A
12,2016-02-16,赢医通,100%,35亿人民币,深天地A
13,2016-02-05,北京青果灵动科技,97%,19.4亿人民币,游族网络
14,2016-01-30,普惠快信金融,100%,未透露,有利网
0,2016-01-30,利信快捷金融,100%,未透露,有利网
1,2016-01-28,章鱼TV,100%,3亿人民币,乐视网
2,2016-01-28,拿铁财经,70%,1亿人民币,分众传媒
3,2016-01-25,搜达足球,56%,3920万人民币,乐视体育(乐体创投)
4,2016-01-22,酷炫游,100%,1.12亿人民币,盟云移软
5,2016-01-22,深圳一点网络,100%,1.68亿人民币,盟云移软
6,2016-01-22,易天互联,100%,1.92亿人民币,盟云移软
7,2016-01-12,灵娱网络,100%,16.14亿人民币,ST海龙股份
8,2016-01-12,杭州妙聚网络,100%,17.24亿人民币,ST海龙股份
9,2016-01-11,美丽说,未透露,未透露,蘑菇街
10,2016-01-11,AdTime泰一指尚,100%,12亿人民币,浙江富润股份
11,2016-01-06,龙文教育,100%,20亿人民币,勤上光电
12,2016-01-04,飞马健身,100%,2800万人民币,莱茵体育
13,2016-01-01,宝付支付,100%,数亿人民币,东方财富网
14,2015-12-31,成都掌娱天下,100%,8.58亿人民币,骅威科技
0,2015-12-31,有乐通,100%,4.5亿人民币,骅威科技
1,2015-12-31,上海莹悦网络,100%,11.5亿人民币,高升控股
2,2015-12-30,派娱科技,51%,2.8亿人民币,天舟文化
3,2015-12-28,酷能量Kuner酷壳,55%,9600万人民币,联络互动
4,2015-12-28,星河互联,100%,110亿人民币,希努尔
5,2015-12-28,全人教育,100%,2.1亿人民币,秀强股份
6,2015-12-27,杭州哲信,100%,29亿人民币,浙江金科
7,2015-12-25,美辰旅游,100%,数亿人民币,同程旅游
8,2015-12-23,宝德计算机,100%,16.67亿人民币,太极股份
9,2015-12-23,量子伟业,100%,4.21亿人民币,太极股份
10,2015-12-23,酷养车,100%,未透露,太平洋网络
